BLOCKID,SENATE
090034735011039, 2
090034736022005, 2
090034737004002, 2
090034711002014, 2
090034731002002, 2
090034737004010, 2
090034736011007, 2
090034731002006, 2
090035245021008, 2
090034711002012, 2
090034737004018, 2
090035015002003, 2
090035246001006, 2
090039801001013, 2
090035037002004, 2
090034735013012, 2
090035014003001, 2
090035245012008, 2
090035037001001, 2
090034711003007, 2
090034735011037, 2
090035040003000, 2
090034712001009, 2
090035039001001, 2
090034735011034, 2
090034714001000, 2
090034713003011, 2
090035245021006, 2
090034711002016, 2
090034737003012, 2
090034736012003, 2
090034737007001, 2
090034731004010, 2
090034735013018, 2
090034735013000, 2
090034714003010, 2
090034738002003, 2
090035015002010, 2
090034711001006, 2
090035244001000, 2
090034712002001, 2
090034715001006, 2
090034713004010, 2
090035013002001, 2
090035037002000, 2
090034735013015, 2
090034712001015, 2
090035039001012, 2
090034715002003, 2
090034736022002, 2
090034714004001, 2
090034735012009, 2
090034711002010, 2
090034714002011, 2
090034713003004, 2
090035245022000, 2
090034737002009, 2
090035015002009, 2
090035245021003, 2
090034736022011, 2
090034714004004, 2
090034738001007, 2
090034711001004, 2
090034711001001, 2
090034731004014, 2
090034736011000, 2
090035039002004, 2
090034735023008, 2
090035014002003, 2
090034735013016, 2
090039801001002, 2
090034735011043, 2
090034738001006, 2
090034735011031, 2
090034711003015, 2
090035245022001, 2
090035012002004, 2
090034735011001, 2
090034735012005, 2
090034737006008, 2
090034714004011, 2
090034737002001, 2
090034734002002, 2
090034738002022, 2
090034735012010, 2
090035015002004, 2
090034735013006, 2
090034713001003, 2
090035039004015, 2
090034731005005, 2
090034737003006, 2
090034713002013, 2
090034736012004, 2
090035018002001, 2
090034735011002, 2
090034737002005, 2
090034736022003, 2
090034737001001, 2
090035040002001, 2
090034715002002, 2
090034711003006, 2
090034731004013, 2
090035039004007, 2
090034712001012, 2
090034715002027, 2
090035037002003, 2
090034734002007, 2
090034738002013, 2
090035039002003, 2
090034715002031, 2
090035039002006, 2
090035246001005, 2
090034734001015, 2
090035029002002, 2
090034731002004, 2
090034731003007, 2
090034711002018, 2
090034731003005, 2
090034734002012, 2
090034736013021, 2
090035039002009, 2
090034714001004, 2
090034735011003, 2
090034734001008, 2
090034735011041, 2
090034711002000, 2
090035245011001, 2
090035013001002, 2
090035037001000, 2
090034711003018, 2
090034735011006, 2
090034715002017, 2
090034734001012, 2
090035014002001, 2
090035040001000, 2
090035040001013, 2
090035039001009, 2
090034713002005, 2
